"ano","mes","cota","afluencia","defluencia","tempo","intervalo"
"2000","01",385.479677419355,3536.45161290323,2102.1935483871,1,"01"
"2000","02",387.241724137931,3843.79310344828,1897.27586206897,2,"02"
"2000","03",388.81,3309.58064516129,1958.35483870968,3,"03"
"2000","04",389.801,2737.66666666667,2334.8,4,"04"
"2000","05",389.547741935484,1594.83870967742,2109.96774193548,5,"05"
"2000","06",389.019,1260.33333333333,1920.56666666667,6,"06"
"2000","07",388.42,1197.09677419355,1898.41935483871,7,"07"
"2000","08",387.600322580645,1120.32258064516,1991.03225806452,8,"08"
"2000","09",386.665,1143.66666666667,1970.3,9,"09"
"2000","10",385.432903225806,1026.12903225806,2211.48387096774,10,"10"
"2000","11",384.536666666667,2030,1793.76666666667,11,"11"
"2000","12",385.597419354839,3347.41935483871,1908.06451612903,12,"12"
"2001","01",387.38935483871,2600.96774193548,1931.8064516129,13,"01"
"2001","02",387.2425,1561.07142857143,2001.60714285714,14,"02"
"2001","03",386.786451612903,1673.54838709677,2033.54838709677,15,"03"
"2001","04",386.126,1154.83333333333,1944.26666666667,16,"04"
"2001","05",385.396451612903,929.516129032258,1325.64516129032,17,"05"
"2001","06",384.918333333333,852.5,1098.53333333333,18,"06"
"2001","07",384.516774193548,654.838709677419,1010.51612903226,19,"07"
"2001","08",383.979032258065,628.709677419355,987.548387096774,20,"08"
"2001","09",383.292666666667,628.666666666667,1092.23333333333,21,"09"
"2001","10",382.346129032258,709.032258064516,1198.83870967742,22,"10"
"2001","11",381.873666666667,1134,1110.26666666667,23,"11"
"2001","12",382.516774193548,1827.41935483871,1434.90322580645,24,"12"
"2002","01",384.728064516129,3409.35483870968,1014.22580645161,25,"01"
"2002","02",387.585714285714,3444.32142857143,1014.92857142857,26,"02"
"2002","03",389.205483870968,2318.67741935484,1623.51612903226,27,"03"
"2002","04",389.380666666667,1752.03333333333,1775.13333333333,28,"04"
"2002","05",388.91064516129,904.935483870968,1694.22580645161,29,"05"
"2002","06",388.228333333333,871.033333333333,1640.4,30,"06"
"2002","07",387.496451612903,921.225806451613,1606.25806451613,31,"07"
"2002","08",386.540322580645,771.709677419355,1662.38709677419,32,"08"
"2002","09",385.324,777.5,1822.93333333333,33,"09"
"2002","10",384.270322580645,977.032258064516,1523.29032258065,34,"10"
"2002","11",383.467,1197.56666666667,1704.26666666667,35,"11"
"2002","12",383.07,1801.8064516129,1555.74193548387,36,"12"
"2003","01",384.448709677419,3353.09677419355,1871.06451612903,37,"01"
"2003","02",386.94,3404.64285714286,1786.57142857143,38,"02"
"2003","03",387.610967741935,2343.22580645161,1820.90322580645,39,"03"
"2003","04",388.247666666667,2364.33333333333,1966.5,40,"04"
"2003","05",387.992903225806,1322.90322580645,1894.67741935484,41,"05"
"2003","06",387.450333333333,1046.33333333333,1527.5,42,"06"
"2003","07",386.905806451613,950,1566.03225806452,43,"07"
"2003","08",386.102258064516,842.903225806452,1502.64516129032,44,"08"
"2003","09",385.258,764,1470.7,45,"09"
"2003","10",384.170967741935,720.322580645161,1495.77419354839,46,"10"
"2003","11",383.285333333333,1005.66666666667,1350.86666666667,47,"11"
"2003","12",382.974193548387,1359.03225806452,1381.48387096774,48,"12"
"2004","01",383.913225806452,2824.51612903226,1110.41935483871,49,"01"
"2004","02",387.140344827586,3997.93103448276,1081.51724137931,50,"02"
"2004","03",390.276451612903,4933.22580645161,1142.83870967742,51,"03"
"2004","04",392.264,4061.33333333333,2761.36666666667,52,"04"
"2004","05",392.472580645161,2069.35483870968,2116,53,"05"
"2004","06",392.358333333333,1201.66666666667,1504.93333333333,54,"06"
"2004","07",392.065483870968,1120.64516129032,1689.58064516129,55,"07"
"2004","08",391.555483870968,970.322580645161,1970.16129032258,56,"08"
"2004","09",390.744,940,2155.9,57,"09"
"2004","10",389.876774193548,1023.54838709677,2089.03225806452,58,"10"
"2004","11",388.990666666667,1120.33333333333,1813.23333333333,59,"11"
"2004","12",388.768064516129,1806.77419354839,1598,60,"12"
"2005","01",389.626774193548,3257.35483870968,1766.67741935484,61,"01"
"2005","02",390.892857142857,4344.5,2652.25,62,"02"
"2005","03",391.724193548387,4281.67741935484,3210.1935483871,63,"03"
"2005","04",392.463666666667,3435.66666666667,2797.26666666667,64,"04"
"2005","05",392.435161290323,1728.51612903226,2117.51612903226,65,"05"
"2005","06",392.155,1247.26666666667,1883.3,66,"06"
"2005","07",391.599032258065,1103.83870967742,1885.67741935484,67,"07"
"2005","08",390.941935483871,962.516129032258,2030.38709677419,68,"08"
"2005","09",390.072333333333,968,2204.83333333333,69,"09"
"2005","10",388.901935483871,1021.93548387097,2251.70967741935,70,"10"
"2005","11",388.029333333333,1323.06666666667,1706.16666666667,71,"11"
"2005","12",388.874838709677,3997.1935483871,1957.1935483871,72,"12"
"2006","01",390.834838709677,3959.48387096774,2204.41935483871,73,"01"
"2006","02",391.189285714286,2021.92857142857,2171.67857142857,74,"02"
"2006","03",391.309032258065,2960.90322580645,2033.8064516129,75,"03"
"2006","04",392.364666666667,3443.6,2426.43333333333,76,"04"
"2006","05",392.418387096774,1892.61290322581,2187.1935483871,77,"05"
"2006","06",392.056666666667,1210.33333333333,1998.06666666667,78,"06"
"2006","07",391.412580645161,1031.96774193548,2126.50322580645,79,"07"
"2006","08",390.526774193548,1046.58064516129,2402.16129032258,80,"08"
"2006","09",389.357666666667,963.266666666667,2472.2,81,"09"
"2006","10",387.966774193548,1263.54838709677,2408.45161290323,82,"10"
"2006","11",387.658,2517.06666666667,2040.76666666667,83,"11"
"2006","12",388.175806451613,3340.8064516129,2570.1935483871,84,"12"
"2007","01",389.890967741935,5209.74193548387,2768.90322580645,85,"01"
"2007","02",391.096071428571,6333.5,5537.64285714286,86,"02"
"2007","03",391.815161290323,6352.29032258064,4864.1935483871,87,"03"
"2007","04",392.413,2225.63333333333,2305.76666666667,88,"04"
"2007","05",392.113225806452,1303.61290322581,2065.25806451613,89,"05"
"2007","06",391.455333333333,1270.76666666667,2276.93333333333,90,"06"
"2007","07",390.47935483871,977.064516129032,2499.1935483871,91,"07"
"2007","08",389.51064516129,996.258064516129,1969.64516129032,92,"08"
"2007","09",388.23,823.666666666667,2477.3,93,"09"
"2007","10",386.474838709677,751.774193548387,2592.96774193548,94,"10"
"2007","11",384.284333333333,954.166666666667,2227.4,95,"11"
"2007","12",383.465483870968,1831.61290322581,1565.64516129032,96,"12"
"2008","01",384.465806451613,2028.58064516129,1351.8064516129,97,"01"
"2008","02",385.959310344828,2859.34482758621,1114.62068965517,98,"02"
"2008","03",387.87,3163.54838709677,1116.74193548387,99,"03"
"2008","04",389.858333333333,2865,1191.96666666667,100,"04"
"2008","05",390.463548387097,1425.41935483871,1337.35483870968,101,"05"
"2008","06",390.290333333333,1028.4,1529.13333333333,102,"06"
"2008","07",389.834193548387,870.967741935484,1467.96774193548,103,"07"
"2008","08",389.01,853.096774193548,2082.22580645161,104,"08"
"2008","09",387.782333333333,749.133333333333,2032.23333333333,105,"09"
"2008","10",386.529677419355,953.096774193548,2169.96774193548,106,"10"
"2008","11",384.858333333333,1134.7,2065.76666666667,107,"11"
"2008","12",384.953870967742,2256.12903225806,1625.25806451613,108,"12"
"2009","01",387.017096774194,4113.54838709677,1425.90322580645,109,"01"
"2009","02",389.461071428571,4280,1840.5,110,"02"
"2009","03",390.871935483871,2956.12903225806,1869.61290322581,111,"03"
"2009","04",391.884666666667,3859,1907.3,112,"04"
"2009","05",392.472903225806,2098.06451612903,2220.67741935484,113,"05"
"2009","06",392.197333333333,1393.33333333333,2078.03333333333,114,"06"
"2009","07",391.56,1082.25806451613,2183.22580645161,115,"07"
"2009","08",390.875161290323,1146.12903225806,1943.41935483871,116,"08"
"2009","09",390.242,1130.66666666667,2010.66666666667,117,"09"
"2009","10",389.548064516129,1527.41935483871,2192.67741935484,118,"10"
"2009","11",389.515,2438.66666666667,1983.7,119,"11"
"2009","12",389.660967741936,2325.8064516129,2051.83870967742,120,"12"
"2010","01",390.342903225806,2765.48387096774,1918.74193548387,121,"01"
"2010","02",390.503214285714,1802.14285714286,2108.96428571429,122,"02"
"2010","03",390.358064516129,2234.51612903226,2010.70967741935,123,"03"
"2010","04",390.778333333333,2331.33333333333,1968.26666666667,124,"04"
"2010","05",390.585806451613,1327.09677419355,1791.48387096774,125,"05"
"2010","06",390.273,1107.66666666667,1493.73333333333,126,"06"
"2010","07",389.868709677419,799.032258064516,1611.22580645161,127,"07"
"2010","08",389.092258064516,720.322580645161,1624.06451612903,128,"08"
"2010","09",388.159333333333,766.333333333333,1759.6,129,"09"
"2010","10",386.954838709677,802.258064516129,1963.32258064516,130,"10"
"2010","11",386.286,1450.33333333333,1573.3,131,"11"
"2010","12",386.59064516129,2494.83870967742,2009.1935483871,132,"12"
"2011","01",387.653225806452,3465.8064516129,1763.06451612903,133,"01"
"2011","02",388.738571428571,2244.28571428571,2171.17857142857,134,"02"
"2011","03",389.071935483871,3307.41935483871,1890.90322580645,135,"03"
"2011","04",390.845,4339,2297.56666666667,136,"04"
"2011","05",391.503548387097,1649.35483870968,1593.48387096774,137,"05"
"2011","06",391.293666666667,1267,1758.36666666667,138,"06"
"2011","07",390.866451612903,1085.16129032258,1790.54838709677,139,"07"
"2011","08",390.1,947.741935483871,2125.67741935484,140,"08"
"2011","09",389.088666666667,968.333333333333,2173.76666666667,141,"09"
"2011","10",387.940967741935,1163.54838709677,2405.03225806452,142,"10"
"2011","11",386.981,1352,1800.66666666667,143,"11"
"2011","12",387.340322580645,3055.16129032258,2000.61290322581,144,"12"
"2012","01",388.997741935484,4662.25806451613,2335.16129032258,145,"01"
"2012","02",391.064137931035,4681.03448275862,2569.44827586207,146,"02"
"2012","03",391.318709677419,1835.48387096774,2602.16129032258,147,"03"
"2012","04",390.974,1748.66666666667,2221.93333333333,148,"04"
"2012","05",390.131290322581,1162.90322580645,2478.09677419355,149,"05"
"2012","06",389.155,1210.93333333333,2216.56666666667,150,"06"
"2012","07",388.421935483871,958.483870967742,1658.51612903226,151,"07"
"2012","08",387.564193548387,859.290322580645,1885.93548387097,152,"08"
"2012","09",386.469333333333,881.3,1861.66666666667,153,"09"
"2012","10",385.437419354839,967.709677419355,1566.35483870968,154,"10"
"2012","11",385.203333333333,1786.33333333333,1355.86666666667,155,"11"
"2012","12",385.765806451613,2079.77419354839,2165.41935483871,156,"12"
"2013","01",385.260967741935,1635.90322580645,1753.90322580645,157,"01"
"2013","02",386.320357142857,2740.35714285714,1345.57142857143,158,"02"
"2013","03",386.96064516129,1435.32258064516,1362.8064516129,159,"03"
"2013","04",387.508,2458,1459.73333333333,160,"04"
"2013","05",388.071612903226,1331.61290322581,1348.8064516129,161,"05"
"2013","06",387.968333333333,1067.33333333333,1169.7,162,"06"
"2013","07",387.719032258065,880.870967741935,1413.35483870968,163,"07"
"2013","08",387.091935483871,824.322580645161,1344.51612903226,164,"08"
"2013","09",386.459333333333,702.733333333333,1344.66666666667,165,"09"
"2013","10",385.572258064516,734.161290322581,1417.87096774194,166,"10"
"2013","11",384.888333333333,980.466666666667,1290.9,167,"11"
"2013","12",385.217741935484,2428,1202.06451612903,168,"12"
"2014","01",387.725161290323,3046.77419354839,1176,169,"01"
"2014","02",388.508214285714,1425,1168.96428571429,170,"02"
"2014","03",388.659032258064,1342.58064516129,1183.1935483871,171,"03"
"2014","04",388.907333333333,1569.66666666667,1172.26666666667,172,"04"
"2014","05",388.905806451613,815.161290322581,1167,173,"05"
"2014","06",388.45,560,1165.8,174,"06"
"2014","07",387.872903225806,568.064516129032,1161.83870967742,175,"07"
"2014","08",387.169032258065,399.677419354839,1146.51612903226,176,"08"
"2014","09",386.333666666667,366.333333333333,1131.7,177,"09"
"2014","10",385.247096774194,234.193548387097,1169.67741935484,178,"10"
"2014","11",384.147,601,1151.2,179,"11"
"2014","12",384.100967741936,1682.25806451613,1156.12903225806,180,"12"
"2015","01",384.57935483871,895.483870967742,1123.67741935484,181,"01"
"2015","02",384.037142857143,1094.28571428571,1142.85714285714,182,"02"
"2015","03",384.184193548387,1237.09677419355,1153.54838709677,183,"03"
"2015","04",384.659333333333,1386,1085.66666666667,184,"04"
"2015","05",384.744516129032,1086.77419354839,1106.54838709677,185,"05"
"2015","06",384.576,742.666666666667,959.4,186,"06"
"2015","07",384.197096774194,616.129032258065,933.483870967742,187,"07"
"2015","08",383.581290322581,529.354838709677,942.129032258065,188,"08"
"2015","09",382.798666666667,486,938.1,189,"09"
"2015","10",381.952258064516,482.903225806452,935.709677419355,190,"10"
"2015","11",381.116333333333,587.333333333333,937.966666666667,191,"11"
"2015","12",380.931935483871,1046.12903225806,928.064516129032,192,"12"
"2016","01",381.368709677419,1711.29032258065,852.161290322581,193,"01"
"2016","02",384.951379310345,3202.75862068966,822.51724137931,194,"02"
"2016","03",386.24064516129,1139.03225806452,829.41935483871,195,"03"
"2016","04",386.279333333333,636.333333333333,825.766666666667,196,"04"
"2016","05",385.796774193548,465.806451612903,834.41935483871,197,"05"
"2016","06",385.239666666667,400,827.966666666667,198,"06"
"2016","07",384.608064516129,371.612903225806,828.129032258065,199,"07"
"2016","08",383.943548387097,397.741935483871,830,200,"08"
"2016","09",383.191,402,828.533333333333,201,"09"
"2016","10",382.523225806452,497.41935483871,826.645161290323,202,"10"
"2016","11",381.946,638,804.666666666667,203,"11"
"2016","12",382.549032258065,1516.77419354839,762.838709677419,204,"12"
"2017","01",383.209032258064,805.161290322581,1005.06451612903,205,"01"
"2017","02",383.0425,1142.5,740.464285714286,206,"02"
"2017","03",383.653225806452,938.064516129032,710.451612903226,207,"03"
"2017","04",383.818333333333,811.666666666667,767,208,"04"
"2017","05",383.531290322581,447.741935483871,707.096774193548,209,"05"
"2017","06",383.229666666667,484.333333333333,608.966666666667,210,"06"
"2017","07",382.894838709677,399.032258064516,611.451612903226,211,"07"
"2017","08",382.499677419355,368.387096774194,615.903225806452,212,"08"
"2017","09",381.967333333333,317.666666666667,608.766666666667,213,"09"
"2017","10",381.41935483871,314.838709677419,562.774193548387,214,"10"
"2017","11",381.071666666667,531.666666666667,557.566666666667,215,"11"
"2017","12",381.616774193548,1339.03225806452,626.516129032258,216,"12"
"2018","01",383.091290322581,1114.86290322581,607.096774193548,217,"01"
"2018","02",383.9025,1572.33214285714,638.964285714286,218,"02"
"2018","03",385.586774193548,1778.10935483871,591.58064516129,219,"03"
"2018","04",386.821333333333,1279.39066666667,694.9,220,"04"
"2018","05",386.915161290323,504.914516129032,656.870967741935,221,"05"
"2018","06",386.653,430.565333333333,691.366666666667,222,"06"
"2018","07",386.340322580645,400.22935483871,694.806451612903,223,"07"
"2018","08",385.987096774194,385.059032258065,685.612903225806,224,"08"
"2018","09",385.576,341.433333333333,708.333333333333,225,"09"
"2018","10",385.07,393.026774193548,741.741935483871,226,"10"
"2018","11",384.845666666667,943.109333333333,735.933333333333,227,"11"
"2018","12",385.956451612903,1908.66967741935,732.967741935484,228,"12"
"2019","01",386.767741935484,1165.65096774194,925.741935483871,229,"01"
"2019","02",386.76,854.75,797.892857142857,230,"02"
"2019","03",387.173225806452,1291.29032258065,713.354838709677,231,"03"
"2019","04",387.899,1474.66666666667,709.4,232,"04"
"2019","05",388.14935483871,872.58064516129,990.161290322581,233,"05"
"2019","06",387.892,684.666666666667,905.3,234,"06"
"2019","07",387.693225806452,643.225806451613,848.290322580645,235,"07"
"2019","08",387.45064516129,561.935483870968,811.709677419355,236,"08"
"2019","09",387.089333333333,485,999.433333333333,237,"09"
"2019","10",386.430322580645,446.129032258065,991.032258064516,238,"10"
"2019","11",385.794333333333,480.333333333333,1112.46666666667,239,"11"
"2019","12",385.536774193548,1187.45161290323,937.354838709677,240,"12"
"2020","01",386.037096774194,1261.29032258065,1011.25806451613,241,"01"
"2020","02",387.108275862069,3039.31034482759,870.310344827586,242,"02"
"2020","03",389.288709677419,3854.83870967742,814.741935483871,243,"03"
"2020","04",391.405,3391.33333333333,1360.66666666667,244,"04"
"2020","05",392.034516129032,1803.22580645161,1414.09677419355,245,"05"
"2020","06",391.828666666667,946.833333333333,1627.2,246,"06"
"2020","07",391.29064516129,780.645161290323,1646.61290322581,247,"07"
"2020","08",390.805806451613,773.225806451613,1238.87096774194,248,"08"
"2020","09",390.278333333333,741.333333333333,1633.33333333333,249,"09"
"2020","10",389.549677419355,858.064516129032,1432.09677419355,250,"10"
"2020","11",388.927333333333,1653.66666666667,2623.23333333333,251,"11"
"2020","12",388.322580645161,1406.77419354839,1964.8064516129,252,"12"
"2021","01",388.241290322581,1676.12903225806,1021.54838709677,253,"01"
"2021","02",388.680714285714,1522.85714285714,853.857142857143,254,"02"
"2021","03",389.809032258065,2470.96774193548,897.645161290323,255,"03"
"2021","04",390.198333333333,1140.66666666667,1302.5,256,"04"
"2021","05",389.814838709677,773.225806451613,1325.8064516129,257,"05"
"2021","06",389.285666666667,620.666666666667,1207.3,258,"06"
"2021","07",388.82,528.387096774194,1022.29032258065,259,"07"
"2021","08",388.348064516129,492.258064516129,1059.74193548387,260,"08"
"2021","09",387.64,502,1341.36666666667,261,"09"
"2021","10",386.707096774194,615.806451612903,1397.93548387097,262,"10"
"2021","11",386.541666666667,1264,824.9,263,"11"
"2021","12",387.571290322581,2360.32258064516,809.161290322581,264,"12"
"2022","01",388.969090909091,4115.45454545455,808.272727272727,265,"01"
